Title,Link,Author Keywords,Index Keywords
"Spatial prediction of flood susceptibility using random-forest and boosted-tree models in Seoul metropolitan city, Korea","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017215608&doi=10.1080%2f19475705.2017.1308971&partnerID=40&md5=597e514f21bcd0cfad6ef5a0b8885f0a","Flood susceptibility; GIS; random forest, boosted tree; Seoul metropolitan city","Climate change; Climate models; Data mining; Decision making; Decision trees; Forestry; Geographic information systems; Geology; Land use; Maps; Classification algorithm; Digital elevation model; Metropolitan cities; Random forest modeling; Random forests; Seoul metropolitan area; Susceptibility mapping; Susceptibility maps; Floods"
"Urban flooding risk assessment based on an integrated k-means cluster algorithm and improved entropy weight method in the region of Haikou, China","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049334615&doi=10.1016%2fj.jhydrol.2018.06.060&partnerID=40&md5=3632ad94d2a11b204be38a9df95bc97f","Cluster algorithm; Improved entropy weight; Risk assessment; Urban flood management","Analytic hierarchy process; Clustering algorithms; Disaster prevention; Entropy; Flood control; Hazards; Maps; Risk assessment; Risk management; Analytic hierarchy process (ahp); Classification results; Classification standard; Cluster algorithms; Flood risk assessments; Improved entropy weights; Integrated methodology; Urban floods; Floods; analytical hierarchy process; cluster analysis; disaster management; entropy; flooding; hydrological modeling; index method; integrated approach; natural hazard; risk assessment; China; Haikou; Hainan"
"Assessment of flood hazard, vulnerability and risk of mid-eastern Dhaka using DEM and 1D hydrodynamic model","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856386076&doi=10.1007%2fs11069-011-0060-x&partnerID=40&md5=bf480801fe56565fd3928a63f49fbdeb","DEM; Flood hazard map; HEC-RAS; Inundation simulation; Risk map","digital elevation model; disaster management; disaster relief; flood damage; flood frequency; GIS; hazard management; hydrodynamics; one-dimensional modeling; risk assessment; satellite imagery; Shuttle Radar Topography Mission; software; topographic mapping; urban area; vulnerability; Bangladesh; Dhaka [Bangladesh]; Dhaka [Dhaka (ADS)]"
"Groundwater vulnerability assessment in the Melaka State of Malaysia using DRASTIC and GIS techniques","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886405670&doi=10.1007%2fs12665-013-2360-9&partnerID=40&md5=9ef481ce0b045b57038cfe13b457afbd","DRASTIC; GIS; Groundwater vulnerability; State of Melaka","Commercial development; Critical issues; Depth-to-water; DRASTIC; Groundwater vulnerability; Groundwater vulnerability assessments; State of Melaka; Tourism industry; Aquifers; Groundwater resources; Land use; Maps; Water levels; Geographic information systems; GIS; groundwater; hydraulic conductivity; land use; remote sensing; vadose zone; vulnerability; water level; water pollution; Malaysia; Melaka; West Malaysia"
"Flood Hazard and Flood Risk Assessment Using a Time Series of Satellite Images: A Case Study in Namibia","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921894711&doi=10.1111%2frisa.12156&partnerID=40&md5=cc1b71a8592c38de72f3a9cc2a207bba","Direct damage; Flood hazard mapping; Flood risk assessment; Remote sensing","Hazards; Mapping; Maps; Probability distributions; Remote sensing; Risk assessment; Satellite imagery; Time series; Uncertainty analysis; Direct damage; Flood hazard maps; Flood hazards; Flood risk assessments; Kolmogorov-Smirnov test; Probabilistic distribution; Relative frequencies; Strong dependences; Floods; flood; flood control; flood damage; hazard; hazard assessment; mapping; satellite imagery; time series analysis; water depth; Namibia; algorithm; disaster; flooding; geographic mapping; human; Namibia; procedures; risk assessment; risk management; safety; satellite imagery; statistics and numerical data; time; Algorithms; Disasters; Floods; Geographic Mapping; Humans; Namibia; Risk Assessment; Risk Management; Safety Management; Satellite Imagery; Time Factors"
"An integrated approach of flood risk assessment in the eastern part of Dhaka City","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947047304&doi=10.1007%2fs11069-015-1911-7&partnerID=40&md5=81ee2abb5702b43815e7bd79f5675e57","Dhaka City; Flood risk; Indirect costs; Intangible costs; Integrated assessment; Vulnerability","cost analysis; flooding; hydrological modeling; integrated approach; risk assessment; vulnerability; warning system; Bangladesh; Dhaka [Bangladesh]; Dhaka [Dhaka (ADS)]"
"Flood risk maps to cultural heritage: Measures and process","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925344645&doi=10.1016%2fj.culher.2014.03.002&partnerID=40&md5=a13d8fcf934440252c37716e5ae31f35","Cultural heritage; Global climate change; Preventive conservation; Risk management; Risk map; Vulnerability analysis",
"Preliminary flood risk assessment: The case of Athens","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860422159&doi=10.1007%2fs11069-011-9930-5&partnerID=40&md5=bb641f7b264011783f4fdda271313dc4","Floods; GIS; Multicriteria evaluation (MCE); Sensitivity analysis; Uncertainty; Vulnerability","flood; GIS; mapping method; multicriteria analysis; regulatory framework; risk assessment; sensitivity analysis; spatial distribution; uncertainty analysis; urban area; Athens [Attica]; Attica; Greece"
"Using global maps to predict the risk of dengue in Europe","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888200381&doi=10.1016%2fj.actatropica.2013.08.008&partnerID=40&md5=79e699b4bcc0f4af8ee8e6f316695986","Dengue; Discriminant analysis; Fleiss kappa; Mahalanobis distance; Risk maps; Satellite data","rain; dengue fever; discriminant analysis; disease spread; disease vector; mapping; numerical model; risk assessment; satellite data; Aedes aegypti; Aedes albopictus; article; dengue; environmental factor; Europe; geographic distribution; geographic mapping; infection risk; mathematical model; population density; quantitative analysis; remote sensing; risk factor; vegetation; virus transmission; Europe; Aedes aegypti; Aedes albopictus; Dengue; Discriminant analysis; Fleiss kappa; Mahalanobis distance; Risk maps; Satellite data; Aedes; Animals; Computer Simulation; Dengue; Europe; Humans; Insect Vectors; Population Density; Risk Assessment; Temperature; World Health"
"Current global risks to marine mammals: Taking stock of the threats","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042520014&doi=10.1016%2fj.biocon.2018.02.021&partnerID=40&md5=a7b6ad9ac362a4a8d43c06c0e662210f","Conservation; GIS; Global; Marine mammals; Risk map; Threats","Mammalia"
"Spatiotemporal Land Use Land Cover change analysis and erosion risk mapping of Azad Jammu and Kashmir, Pakistan","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916223568&doi=10.1016%2fj.ejrs.2014.09.004&partnerID=40&md5=cf44525ff27faf1db5fd6e5b8ae93f20","Change detection; Erosion risk mapping; Landsat; LUCL; Remote sensing; Soil erodibility","Decision making; Erosion; Land use; Mapping; Maps; Maximum likelihood estimation; Remote sensing; Soils; Sustainable development; Topography; Urban growth; Change detection; Erosion risk; LANDSAT; LUCL; Soil erodibility; Risk assessment; land cover; land use change; Landsat thematic mapper; maximum likelihood analysis; remote sensing; risk assessment; soil erosion; spatiotemporal analysis; sustainable development; vegetation cover; India; Jammu and Kashmir"
"EPES - Earthquake pedestrians' evacuation simulator: A tool for predicting earthquake pedestrians' evacuation in urban outdoor scenarios","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907856767&doi=10.1016%2fj.ijdrr.2014.08.002&partnerID=40&md5=61f188485d7eb1f94a1bac1bc08605a2","Applied social sciences; Earthquake risk assessment evaluation; Evacuation simulation software; Exposure parameter investigation; Post-earthquake evacuation; Tools for community resilience investigation",
"Landslide hazard and risk assessment: A case study from the Hlohovec-Sered' landslide area in south-west Slovakia","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866014483&doi=10.1007%2fs11069-012-0257-7&partnerID=40&md5=505fc968964a3f5e9648c81cad714698","Hazard; Landslide; Risk; Slovakia; Susceptibility; Vulnerability","hazard assessment; landslide; risk assessment; slope stability; statistical analysis; vulnerability; Slovakia"
"Flood risk assessment and mapping in peri-urban Mediterranean environments using hydrogeomorphology. Application to ephemeral streams in the Valencia region (eastern Spain)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83955161241&doi=10.1016%2fj.landurbplan.2011.10.009&partnerID=40&md5=924254856e1224b393e6dd3af8c11dc0","Ephemeral stream; Exposure; Flood-risk map; Hazard; Land-use; Mediterranean","Economic values; Ephemeral streams; Exposure; Flood hazards; Flood plains; Flood risk assessments; Flood risks; Human exposures; Land Use Planning; Mapping method; Mediterranean; Mediterranean basin; Mediterranean environment; Metropolitan area; Peri-urban areas; Risk manager; Urban planners; Valencia; Catchments; Economics; Floods; Hazards; Land use; Risk assessment; Rivers; Urban planning; Mapping; catchment; decision making; ephemeral stream; flood; floodplain; geomorphology; land use planning; landscape planning; mapping; Mediterranean environment; metropolitan area; risk assessment; urban planning; Comunidad Valencia; Spain"
"Soil gas radon assessment and development of a radon risk map in Bolsena, Central Italy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939934053&doi=10.1007%2fs10653-014-9649-9&partnerID=40&md5=d3344c59d74cee6a433facba272e58b9","Geology; Radon risk map; Soil gas radon; Vulsini Volcanic district","air pollutant; radon; soil; soil pollutant; air pollutant; analysis; chemistry; Italy; procedures; radiation monitoring; risk assessment; sediment; soil; soil pollutant; toxicity; Air Pollutants, Radioactive; Geologic Sediments; Italy; Radiation Monitoring; Radon; Risk Assessment; Soil; Soil Pollutants, Radioactive"
"Approach to environmental risk analysis for the main monuments in a historical city","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904697151&doi=10.1016%2fj.culher.2013.07.009&partnerID=40&md5=5761252e0d43602544bfca833956eaec","Cultural heritage; Environmental risk; Hazards maps; Vulnerability matrix",
"A modified SINTACS method for groundwater vulnerability and pollution risk assessment in highly anthropized regions based on NO3 − and SO4 2 − concentrations","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026815681&doi=10.1016%2fj.scitotenv.2017.07.257&partnerID=40&md5=08fe6c149f501e5df23530bb2f855d9a","Anthropized territory; Classification methods; Groundwater quality; Porous aquifer; Specific vulnerability","Agricultural robots; Aquifers; Automatic vehicle identification; Groundwater; Groundwater resources; Land use; Maps; Risk assessment; Urban planning; Water quality; Anthropized territory; Classification methods; Ground water protection; Groundwater vulnerability; Porous aquifers; Sedimentary organic matter; Specific vulnerability; Vulnerability assessments; Groundwater pollution; ground water; nitrate; organic matter; sulfate; ground water; nitric acid derivative; sulfate; anthropogenic source; aquifer; classification; concentration (composition); groundwater pollution; nitrate; porous medium; risk assessment; sulfate; vulnerability; water quality; Article; concentration (parameters); environmental exposure; environmental monitoring; Italy; land use; methodology; priority journal; process optimization; risk assessment; rural area; SINTACS method; suburban area; water analysis; water management; water pollution; analysis; chemical model; chemistry; procedures; risk assessment; water pollutant; Campania [Italy]; Italy; Environmental Monitoring; Groundwater; Italy; Models, Chemical; Nitrates; Risk Assessment; Sulfates; Water Pollutants, Chemical"
"An operative dengue risk stratification system in Argentina based on geospatial technology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867091209&doi=10.4081%2fgh.2012.120&partnerID=40&md5=fdea4892c0ff6cba2a0c102472a1d526","Argentina; Decision informatics support; Dengue; Geomatics; Risk",
"Fine scale spatial urban land cover factors associated with adult mosquito abundance and risk in Tucson, Arizona","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870265190&doi=10.1111%2fj.1948-7134.2012.00245.x&partnerID=40&md5=fbf395c140e582c59e4ec85b216ce925","Aedes aegypti; Arizona; Culex quinquefasciatus; Land cover; Mosquito abundance; Seasonal presence","Aedes; animal; article; Culex; mosquito; physiology; season; United States; Aedes; Animals; Arizona; Culex; Culicidae; Seasons; Aedes aegypti; Culex pipiens quinquefasciatus; West Nile virus"
"Urban-hazard risk analysis: Mapping of heat-related risks in the elderly in major Italian cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930659912&doi=10.1371%2fjournal.pone.0127277&partnerID=40&md5=e3d0201b39063e21dac9e80f1557f055",,"Article; controlled study; environmental exposure; environmental parameters; environmental temperature; generalized additive model; hazard assessment; high temperature; human; Italy; land surface temperature; linear regression analysis; population density; remote sensing; risk assessment; risk factor; statistical model; summer; time series analysis; urban area; aged; city; heat; season; theoretical model; Aged; Cities; Hot Temperature; Humans; Italy; Linear Models; Models, Theoretical; Risk Assessment; Seasons"
"Modelling typhoid risk in Dhaka Metropolitan Area of Bangladesh: The role of socio-economic and environmental factors","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874930146&doi=10.1186%2f1476-072X-12-13&partnerID=40&md5=cb9bab21b49163e19e8a6e1b2b373c63",,"disease control; disease incidence; health risk; metropolitan area; modeling; quality of life; remote sensing; risk assessment; socioeconomic conditions; typhoid; vaccination; Bangladesh; Dhaka [Bangladesh]; article; Bangladesh; economics; environmental exposure; geographic mapping; human; microbiology; population research; risk factor; river; socioeconomics; statistical model; typhoid fever; urban population; Bangladesh; Censuses; Environmental Exposure; Geographic Mapping; Humans; Models, Economic; Risk Factors; Rivers; Socioeconomic Factors; Typhoid Fever; Urban Population"
"Urban micro-scale flood risk estimation with parsimonious hydraulic modelling and census data","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919382405&doi=10.5194%2fnhess-13-1375-2013&partnerID=40&md5=8b4a45bcc985a1f51460510358f1b999",,"accuracy assessment; disaster management; estimation method; flood control; flood forecasting; hazard assessment; parsimony analysis; risk assessment; spatial distribution; two-dimensional modeling; urban area; Firenze [Tuscany]; Florence [Firenze]; Italy; Tuscany"
"Risk analysis of urban stormwater infrastructure systems using fuzzy spatial multi-criteria decision making","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051394583&doi=10.1016%2fj.scitotenv.2018.08.074&partnerID=40&md5=383b796cad50d7a3327905c9ee965d80","Autodesk SSA; Fuzzy sets theory; GIS; Risk analysis; Spatial Multi Criteria Decision Making; Urban stormwater systems","Decision making; Decision theory; Floods; Fuzzy set theory; Fuzzy sets; Geographic information systems; Maps; Risk assessment; Risk management; Spatial variables measurement; Storms; Uncertainty analysis; Autodesk; Fuzzy analytic hierarchy process; Fuzzy sets theory; Hydraulic simulation; Infrastructure systems; Multi criteria decision making; Multidimensionality; Urban stormwater systems; Risk analysis; storm water; decision making; fuzzy mathematics; GIS; infrastructure planning; multicriteria analysis; risk assessment; spatial analysis; spatial data; stormwater; urban area; Article; Autodesk Storm model; case study; controlled study; decision making; flooding; Fuzzy Analytic Hierarchy Process; fuzzy system; geographic information system; Hydraulic simulation; Iran; Multi Criteria Decision Making; population density; priority journal; risk assessment; Sanitary Analysis model; simulation; surface water hydrology; traffic; urban area; urban stormwater system; Iran; Tehran [Iran]"
"Distribution of Lutzomyia longipalpis Chemotype Populations in São Paulo State, Brazil","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928789124&doi=10.1371%2fjournal.pntd.0003620&partnerID=40&md5=98e2cdd401b544a3bc5357896fe0a102",,"9 methylgermacrene B; cembrene 1; sex pheromone; unclassified drug; Article; Brazil; chemotyping; disease surveillance; disease transmission; dog; geographic distribution; human; Lutzomyia longipalpis; male; mass fragmentography; molecular typing; nonhuman; stereomicroscopy; visceral leishmaniasis; animal; chemistry; geographic information system; growth, development and aging; insect vector; Leishmaniasis, Visceral; parasitology; Psychodidae; transmission; Animals; Brazil; Dogs; Gas Chromatography-Mass Spectrometry; Geographic Information Systems; Humans; Insect Vectors; Leishmaniasis, Visceral; Male; Psychodidae"
"Distribution and abundance of phlebotominae, vectors of leishmaniasis, in Argentina: Spatial and temporal analysis at different scales","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856470102&doi=10.1155%2f2012%2f652803&partnerID=40&md5=b04427e18c9f96a2c625c94e018d864f",,"Argentina; climate change; disease carrier; human activities; leishmaniasis; nonhuman; Phlebotominae; priority journal; review; rural area; tegumentary leishmaniasis; urban area; visceral leishmaniasis"
"Risk Mapping of Anopheles gambiae s.l. Densities Using Remotely-Sensed Environmental and Meteorological Data in an Urban Area: Dakar, Senegal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870621495&doi=10.1371%2fjournal.pone.0050674&partnerID=40&md5=eaf6b95df044450c603da651cffdce9f",,"Anopheles gambiae; area under the curve; article; calibration; ecological procedures; environmental factor; gene mapping; geographic information system; larva; malaria; meteorological phenomena; nonhuman; receiver operating characteristic; remote sensing; risk factor; Senegal; statistical analysis; urban area; vector control; Animals; Anopheles gambiae; Cities; Ecosystem; Environment; Humans; Insect Vectors; Larva; Malaria; Meteorological Concepts; Population Density; Remote Sensing Technology; Risk Assessment; Senegal; Spatial Analysis; Water; Anopheles gambiae"
"Spatially explicit Burden estimates of malaria in Tanzania: Bayesian geostatistical modeling of the malaria indicator survey data","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861368638&doi=10.1371%2fjournal.pone.0023966&partnerID=40&md5=3301192247be18f2cddc65f4ad860e55",,"adolescent; adult; article; controlled study; demography; disease transmission; female; geographic distribution; geostatistical analysis; household; human; major clinical study; malaria; male; mathematical analysis; mathematical model; parasitemia; Plasmodium falciparum; prevalence; probability; risk assessment; socioeconomics; Tanzania; temperature dependence; age; Bayes theorem; biological model; child; climate; computer simulation; demography; geography; risk factor; Tanzania; Age Factors; Bayes Theorem; Child; Climate; Computer Simulation; Demography; Geography; Humans; Malaria; Models, Biological; Prevalence; Risk Factors; Socioeconomic Factors; Tanzania"
"Geographic patterns and environmental factors associated with human yellow fever presence in the Americas","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030695042&doi=10.1371%2fjournal.pntd.0005897&partnerID=40&md5=bda3d4e0e05ee364e73adcc47ce13cb4",,"rain; altitude; Article; canopy; cluster analysis; descriptive research; disease association; ecosystem monitoring; environmental factor; environmental temperature; geographic distribution; geographic mapping; habitat quality; health care policy; human; information processing; land use; latitude; longitudinal study; major clinical study; primate; spatial analysis; Western Hemisphere; yellow fever; animal; Brazil; Colombia; Disease Outbreaks; Endemic Diseases; environment; geography; isolation and purification; Peru; spatiotemporal analysis; statistical model; statistics and numerical data; temperature; transmission; virology; world health organization; yellow fever; Yellow fever virus; Americas; Animals; Brazil; Colombia; Disease Outbreaks; Endemic Diseases; Environment; Geography; Humans; Models, Statistical; Pan American Health Organization; Peru; Primates; Rain; Spatio-Temporal Analysis; Temperature; World Health Organization; Yellow Fever; Yellow fever virus"
"Mapping cyclist activity and injury risk in a network combining smartphone GPS data and bicycle counts","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954233612&doi=10.1016%2fj.aap.2015.07.014&partnerID=40&md5=257d6282f07f3fe643638a3441f2de14","Average annual daily bicycle flow; Bayesian methods; Cyclist risk; Cyclist safety; GPS smartphone application","Bayesian networks; Bicycles; Global positioning system; Intersections; Maps; Motor transportation; Population statistics; Risk perception; Roads and streets; Signal encoding; Smartphones; Sporting goods; Average annual daily bicycle flow; Bayesian methods; Bicycle infrastructures; Cyclist safety; Non-signalized intersection; Safety performance function; Signalized intersection; Smart-phone applications; Safety engineering; Bayes theorem; Canada; cycling; environmental planning; geographic information system; human; injuries; risk; safety; smartphone; statistics and numerical data; traffic accident; Accidents, Traffic; Bayes Theorem; Bicycling; Canada; Environment Design; Geographic Information Systems; Humans; Risk; Safety; Smartphone"
