Title,Link,Author Keywords,Index Keywords
"Principles and criteria for assessing urban energy resilience: A literature review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971201209&doi=10.1016%2fj.rser.2016.03.028&partnerID=40&md5=a81f807fc7d5b09e2520dcdd9d8ac64d","Assessment; Climate change mitigation and adaptation; Criteria; Principles; Resilience; Sustainability; Urban energy","Behavioral research; Energy resources; Land use; Risk management; Sustainable development; Urban planning; Assessment; Climate change mitigation; Criteria; Principles; Resilience; Urban energy; Climate change"
"The development of a heat wave vulnerability index for London, United Kingdom","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888148399&doi=10.1016%2fj.wace.2013.07.004&partnerID=40&md5=36ddabf5cb6f4cfd0467d1f6ddb941a8","Climate and health; Climate risk management; Heat risk mapping; Heat vulnerability index; Heat waves","census; environmental risk; heat island; mapping; risk assessment; vulnerability; wave; England; London [England]; United Kingdom"
"Urban flood disaster management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876973006&doi=10.1016%2fj.proeng.2012.01.1233&partnerID=40&md5=421bfabe087688faa56f46d8725e4d97","Flood control measures; Flood disaster management; Risk management; Thailand; Urban floods",
"Energy Abundance or Environmental Worries? Analyzing Public Support for Fracking in the United States","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896347503&doi=10.1111%2fropr.12048&partnerID=40&md5=a5d3d5233e7202bca37494699aa096c1","Disaster and risk management; Economic development; Energy; Environment","disaster management; economic development; energy resource; environmental protection; public attitude; risk assessment; United States"
"Assessment of potential health risk for inhabitants living near a former lead smelter. Part 1: Metal concentrations in soils, agricultural crops, and homegrown vegetables","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878363265&doi=10.1007%2fs10661-012-2818-3&partnerID=40&md5=e67a6739af0789cbd0057fbf53ce6867","Cereals; Hazardous elements; Lead works; Legumes; Population exposure; Soils","Cereals; Contamination levels; European legislation; Hazardous elements; Legumes; Metal concentrations; Population exposure; Potential health risks; Cadmium; Contamination; Crops; Health risks; Lead; Lead smelting; Soils; Vegetables; Zinc; Soil pollution; cadmium; lead; zinc; metal; cadmium; cereal; crop production; environmental risk; health impact; health risk; lead; legume; pollution exposure; public health; soil pollution; topsoil; vegetable; zinc; article; crop; environmental exposure; food contamination; health hazard; human; legal aspect; plant growth; residential area; risk assessment; risk management; smelter; soil pollution; urban area; vegetable; chemistry; environmental monitoring; France; metallurgy; pollution; risk assessment; soil; soil pollutant; statistics; France; Crops, Agricultural; Environmental Exposure; Environmental Monitoring; Environmental Pollution; France; Humans; Metallurgy; Metals; Risk Assessment; Soil; Soil Pollutants; Vegetables"
"A global framework for future costs and benefits of river-flood protection in urban areas","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028656930&doi=10.1038%2fnclimate3350&partnerID=40&md5=cac68cd361aa5066c0d8e40598707d28",,"climate change; cost-benefit analysis; economic growth; flood control; risk assessment; urban area"
"A review of risk management through BIM and BIM-related technologies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955321043&doi=10.1016%2fj.ssci.2015.12.027&partnerID=40&md5=ebe86112b5d46f3ad1d0733f2ab133f3","BIM (Building Information Modelling); BIM-based risk management; Construction safety; Digital technology; Risk management","Architectural design; Human resource management; Information management; Information theory; Knowledge based systems; Land use; Research and development management; Risk analysis; Risk assessment; Safety engineering; Urban growth; Architecture , engineering and constructions; Building Information Modelling; Construction personnel; Construction safety; Digital technologies; Multi-disciplinary systems; Technical development; Technical limitations; Risk management; Article; building industry; computer aided design; geographic information system; information technology; occupational safety; priority journal; quality control; radiofrequency identification; risk assessment; risk management; virtual reality"
"Inserting rights and justice into urban resilience: a focus on everyday risk","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014414534&doi=10.1177%2f0956247816686905&partnerID=40&md5=46c592901465f3e74ff94dfa346853a7","African cities; rights and entitlements; risk; social justice; urban resilience","risk assessment; social justice; urban area; Africa"
"“Sponge City” in China—A breakthrough of planning and flood risk management in the urban context","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043385160&doi=10.1016%2fj.landusepol.2018.03.005&partnerID=40&md5=5fbfcc76c8e803a3ac65d111f2ca48ff","Climate change; Landuse planning; Sponge City; Surface water flooding; Urban water management","climate change; conservation; flooding; land use planning; risk assessment; urban development; urbanization; water management; China; Aves"
"Assessing exposure of human and ecological values to wildfire in Sardinia, Italy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877069913&doi=10.1071%2fWF11060&partnerID=40&md5=b7d24e062bd4f564a2dcf823fc964f49",,
"Assessing the utility of social media as a data source for flood risk management using a real-time modelling framework","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028405958&doi=10.1111%2fjfr3.12154&partnerID=40&md5=ab5af4a6fb67a3166ce7446b424f4dd9","Flood modelling; flood risk management; incident management; Newcastle upon Tyne; social media",
"Dynamic safety assessment of natural gas stations using Bayesian network","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992028305&doi=10.1016%2fj.jhazmat.2016.09.074&partnerID=40&md5=e948f765c4e484ad97dbe98ef9f6ff47","Bayesian network; Bow-tie approach; City gate station; Dynamic risk analysis; FMEA","Accidents; Bayesian networks; Gases; Hazards; Natural gas; Pipelines; Risk analysis; Risk assessment; Risk management; Risk perception; Risks; Safety engineering; Bow tie; City gate station; Dynamic risks; Dynamic safety assessments; FMEA; Occurrence probability; Quantitative risk analysis; Risk management plans; Natural gas transportation; natural gas; accident; assessment method; Bayesian analysis; gas pipeline; gas transport; hazard management; natural gas; risk assessment; safety; urban area; accident; Article; Bayes theorem; hazard assessment; human; qualitative analysis; quantitative analysis; risk assessment; risk management; sensitivity analysis; vapor"
"Integrating hierarchical bioavailability and population distribution into potential eco-risk assessment of heavy metals in road dust: A case study in Xiandao District, Changsha city, China","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944111730&doi=10.1016%2fj.scitotenv.2015.09.139&partnerID=40&md5=6d3411945e2b6baa93285d335487b880","Heavy metals; Hierarchical bioavailability; Population distribution; Potential eco-risk assessment; Road dust","Air pollution; Biochemistry; Cadmium; Copper; Dust; Heavy metals; Highway administration; Land use; Lead; Maps; Pollution; Population distribution; Population statistics; Risk management; Roads and streets; Transportation; Zinc; Geo-accumulation index; Hierarchical bioavailability; Metal concentrations; Population densities; Priority pollutants; Risk assessment methods; Risk management strategies; Road dusts; Risk assessment; air quality; atmospheric pollution; bioavailability; concentration (composition); dust; heavy metal; hierarchical system; population distribution; risk assessment; Changsha; China; Hunan; dust; heavy metal; pollutant; soil; analysis; chemistry; China; city; demography; dust; environmental exposure; environmental monitoring; human; pollutant; pollution; risk assessment; soil; statistics and numerical data; traffic and transport; China; Cities; Demography; Dust; Environmental Exposure; Environmental Monitoring; Environmental Pollutants; Environmental Pollution; Humans; Metals, Heavy; Risk Assessment; Soil; Transportation"
"Potable Water Reuse through Advanced Membrane Technology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053194658&doi=10.1021%2facs.est.8b00562&partnerID=40&md5=168605aa0dda3bc130f44d0ee06dacb7",,"Computer software reusability; Membrane technology; Potable water; Wastewater reclamation; Water conservation; Water management; Water supply; Future perspectives; High-quality recycled waters; Membrane material; Membrane process; Municipal wastewaters; Potable water reuse; Sustainable solution; Water management strategies; Water recycling; drinking water; nanocomposite; polyamide; drinking water; future prospect; membrane; recycling; reverse osmosis; wastewater treatment plant; water planning; water quality; Article; fouling control; human; infectious agent; membrane structure; membrane technology; monitoring; organic pollution; public opinion; reliability; reverse osmosis; risk management; trust; waste water recycling; water management; water pollutant; water quality; water supply; California; city; waste water; water management; California; Singapore [Southeast Asia]; United States; California; Cities; Drinking Water; Waste Water; Water Purification; Water Supply"
"Improvement in total joint replacement quality metrics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015850199&doi=10.2106%2fJBJS.16.00523&partnerID=40&md5=af7784d5c6fe1ac5c102064a1b36d83f",,"health care cost; health care quality; hip arthroplasty; hospital patient; hospital readmission; human; length of stay; patient care; prophylaxis; rehabilitation care; Review; risk factor; thromboembolism; total arthroplasty; care bundle; economics; epidemiology; hip replacement; knee replacement; medicare; risk management; standards; statistics and numerical data; total quality management; United States; value-based insurance design; Arthroplasty, Replacement, Hip; Arthroplasty, Replacement, Knee; Humans; Medicare; Patient Care Bundles; Quality Improvement; Risk Sharing, Financial; United States; Value-Based Insurance"
"A multi-objective relief chain location distribution model for urban disaster management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896729853&doi=10.1007%2fs00170-013-5379-x&partnerID=40&md5=6c5b730a2f4b83ea418571a3069d1b09","Goal programming method; Location and distribution model; Multi-objective; Relief chain management; Urban disaster management","Chain management; Distribution models; Goal programming; Multi objective; Urban disaster; Chains; Disaster prevention; Linear programming; Risk assessment; Risk management; Urban planning; Zoning; Disasters"
"Catalogue of antibiotic resistome and host-tracking in drinking water deciphered by a large scale survey","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041956742&doi=10.1186%2fs40168-017-0369-0&partnerID=40&md5=f7ae988b989865b9411a961b1138362a","Antibiotic resistome; Bacterial community; Drinking water; Horizontal gene transfer; Host-tracking; Public health","antiinfective agent; drinking water; antibiotic resistance; bacterial gene; bacterium; China; classification; drug effect; genetics; Hong Kong; horizontal gene transfer; human; isolation and purification; metagenomics; microbial consortium; microbiology; multidrug resistance; procedures; public health; questionnaire; United States; water management; Anti-Bacterial Agents; Bacteria; China; Drinking Water; Drug Resistance, Microbial; Drug Resistance, Multiple; Gene Transfer, Horizontal; Genes, Bacterial; Hong Kong; Humans; Metagenomics; Microbial Consortia; Public Health; Surveys and Questionnaires; United States; Water Purification"
"Human health risk assessment of heavy metals in urban stormwater","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961905508&doi=10.1016%2fj.scitotenv.2016.03.067&partnerID=40&md5=0259052157c18035e7feeb16a92754d0","Hazard index; Heavy metals; Risk assessment; Stormwater pollutant processes; Stormwater quality","Decision making; Hazards; Health; Health risks; Heavy metals; Land use; Lead; Manganese; Pollution; Risk management; Storm sewers; Storms; Efficient implementation; Hazard indices; Human health risk assessment; Risk to human health; Stormwater pollutants; Stormwater quality; Threshold concentrations; Urban environments; Risk assessment; aluminum; cadmium; chromium; copper; heavy metal; iron; lead; manganese; nickel; storm water; zinc; heavy metal; rain; waste water; water pollutant; hazard management; health risk; heavy metal; risk assessment; stormwater; toxic material; water quality; Article; controlled study; health hazard; human; land use; mathematical model; particle size; priority journal; risk assessment; risk factor; traffic; urban area; water pollution; analysis; chemistry; city; environmental exposure; risk assessment; statistics and numerical data; waste water; water pollutant; Cities; Environmental Exposure; Humans; Metals, Heavy; Rain; Risk Assessment; Waste Water; Water Pollutants, Chemical"
"Urban flood risk mapping using the GARP and QUEST models: A comparative study of machine learning techniques","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058226949&doi=10.1016%2fj.jhydrol.2018.12.002&partnerID=40&md5=31013bb471dbcbf6d7c8d799d6351c28","Data-mining; FANP; Flood risk management; GIS; Urban planning","Artificial intelligence; Data mining; Economics; Flood control; Genetic algorithms; Geographic information systems; Groundwater; Hazards; Hydraulic machinery; Land use; Learning systems; Maps; Population distribution; Population dynamics; Population statistics; Risk management; Trees (mathematics); Urban planning; FANP; Flood risk management; Flood vulnerabilities; Fuzzy analytical network process; Machine learning models; Machine learning techniques; Receiver operator characteristic curves; Socio-economic conditions; Floods; accuracy assessment; comparative study; data mining; flood; flood damage; GIS; hydrological modeling; machine learning; mapping method; risk assessment; urban area; urban planning; vulnerability; Iran; Mazandaran; Sari"
"Wildland fire smoke and human health","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038889365&doi=10.1016%2fj.scitotenv.2017.12.086&partnerID=40&md5=b6c3a2a560d4d9f2858c7089b18988b4","Air pollution; Health effects; Particulate matter, PM2.5; Smoke; Wildfire emissions","Air pollution; Clinical research; Fires; Industrial hygiene; Public health; Pulmonary diseases; Risk analysis; Risk assessment; Risk management; Smoke; Adverse health effects; Cardio-vascular disease; Cardiovascular mortality; Chronic obstructive pulmonary disease; Health care professionals; Health effects; Particulate Matter; Wildland urban interface; Health risks; drinking water; atmospheric pollution; cardiovascular disease; epidemiology; health impact; literature review; particulate matter; public health; smoke; wildfire; acute heart infarction; age distribution; angina pectoris; Article; asthma; awareness; cerebrovascular disease; chronic obstructive lung disease; cost; diabetes mellitus; fire; health care utilization; heart arrest; heart arrhythmia; heart failure; human; hypertension; ischemic heart disease; morbidity; mortality; obesity; particulate matter; priority journal; productivity; public health; quality of life; respiratory tract infection; river; smoke; social status; stream (river); water quality; wellbeing; wildfire; wildland fire smoke; air pollutant; environmental exposure; public health; smoke; wildfire; Air Pollutants; Environmental Exposure; Humans; Particulate Matter; Public Health; Smoke; Wildfires"
"Monitoring, sources, receptors, and control measures for three European Union watch list substances of emerging concern in receiving waters – A 20 year systematic review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991693817&doi=10.1016%2fj.scitotenv.2016.09.084&partnerID=40&md5=bb109c179ece4013328eaec1016a6243","17-Alpha-ethynylestradiol (EE2); 17-Beta-estradiol (E2); Control; Diclofenac; Receptors; Sources; Watch list; Water framework directive","Biodegradation; Chemical analysis; Control engineering; Controlled drug delivery; Decision making; Effluents; Elementary particle sources; Environmental regulations; Laws and legislation; Risk management; River pollution; Surface waters; Wastewater treatment; Watches; Water conservation; Water quality; 17-Alpha-ethynylestradiol (EE2); 17-Beta-estradiol (E2); Diclofenac; Receptors; Watch list; Water Framework Directives; Chemicals removal (water treatment); diclofenac; estradiol; ethinylestradiol; organic matter; surface water; estrogen; ethinylestradiol; concentration (composition); European Union; legislative implementation; pollutant source; pollution control; pollution monitoring; pollution policy; river basin; wastewater treatment; water pollution; aquatic environment; bibliographic database; biodegradation; computer model; concentration (parameters); decision making; drug excretion; drug use; effluent; environmental monitoring; European Union; government; hospital waste; human; law; maximum allowable concentration; policy; pollution control; priority journal; publication; quantitative analysis; Review; risk management; systematic review; urban area; waste component removal; waste water management; waste water treatment plant; water analysis; water pollution; water quality; water sampling; analysis; sewage; waste water; water pollutant; Europe; Environmental Monitoring; Estrogens; Ethinyl Estradiol; European Union; Humans; Waste Disposal, Fluid; Waste Water; Water Pollutants, Chemical"
"Assessing stability and dynamics in flood risk governance: An empirically illustrated research approach","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925362283&doi=10.1007%2fs11269-014-0732-x&partnerID=40&md5=5dd5ef01f8dde3fdc7fef501981e7ed1","Dordrecht; Effectiveness; Efficiency; Europe; Flood risk governance arrangements; Flood riskmanagement strategies; Legitimacy; Resilience","Agglomeration; Climate change; Efficiency; Flood control; Risk assessment; Risk management; Dordrecht; Effectiveness; Europe; Flood risks; Legitimacy; Resilience; Floods; comparative study; drainage network; European Union; flood control; flooding; public-private partnership; regional policy; risk assessment; strategic approach; urban drainage; Dordrecht; Netherlands; South Holland"
"Perspectives for flood risk assessment and management for mega-city metro system","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056148952&doi=10.1016%2fj.tust.2018.10.019&partnerID=40&md5=f0d4ca3eb9d02e5776792552a42559d0","Assessment method; Flood risk; Metro system","Geographic information systems; Information management; Information use; Iterative methods; Remote sensing; Risk assessment; Risk management; Risk perception; Subways; Assessment method; Flood risks; Global position systems; Metro system; Multi Criteria Analysis; Risk management systems; Scenario-based analysis; Technical countermeasures; Floods; assessment method; computer simulation; early warning system; flood control; GIS; GPS; megacity; metro system; risk assessment; China; Guangdong; Guangzhou"
"Development of web-based system for safety risk early warning in urban metro construction","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878586886&doi=10.1016%2fj.autcon.2012.11.001&partnerID=40&md5=8f049a3c3b1e1bd6e3a4db7fb46d4165","Data fusion; Early warning; Safety risk; Urban metro construction; Web-based system","Development and applications; Early warning; Infrastructure investment; Metro construction; Multi-source informations; Safety risk assessments; Safety risks; Web-based system; Data fusion; Investments; Risk management; World Wide Web; Urban growth"
"Surviving the turbulent future","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875700854&doi=10.1068%2fd23011&partnerID=40&md5=a7056025047e43384096a56ae927c8bc","Catastrophism; Cities; Resilience; Risk; Welfarism","catastrophic event; risk assessment; survival; urban area; Sweden"
"Salient beliefs about earthquake hazards and household preparedness","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884204635&doi=10.1111%2frisa.12014&partnerID=40&md5=36c649d75c84e6fc61fe1cfd47b196e7","Adjustment adoption; Earthquakes; Preparedness; Salient beliefs","Adjustment adoption; Earthquake hazard; Environmental levels; Imminent threats; Personal responsibility; Preparedness; Qualitative interviews; Salient beliefs; Hazards; Risk management; Earthquakes; hazard management; household survey; information management; qualitative analysis; seismic hazard; social behavior; New Zealand; Adjustment adoption; article; attitude; city; cultural anthropology; decision making; disaster planning; earthquake; family size; geography; human; interpersonal communication; methodology; New Zealand; perception; Preparedness; questionnaire; risk assessment; risk management; salient beliefs; social behavior; urban population; Adjustment adoption; earthquakes; preparedness; salient beliefs; Attitude; Choice Behavior; Cities; Communication; Culture; Disaster Planning; Earthquakes; Family Characteristics; Geography; Humans; New Zealand; Perception; Questionnaires; Risk Assessment; Risk Management; Social Behavior; Urban Population"
"Prevalence of human pathogens and indicators in stormwater runoff in Brisbane, Australia","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870054069&doi=10.1016%2fj.watres.2012.03.012&partnerID=40&md5=cbf2335ab3cc4b0a220816aac4ecb66e","Adenovirus; Campylobacter spp.; Fecal indicator bacteria; Polyomavirus; Salmonella enterica; Stormwater","Contamination; Pathogens; Risk management; Runoff; Salmonella; Sewage; Storm sewers; Urban growth; Water pollution; Adenovirus; Campylobacter spp; Fecal indicator bacteria; Polyomavirus; Salmonella enterica; Stormwaters; Storms; runoff; storm water; aquatic environment; bacterium; bioindicator; host-pathogen interaction; pathogenicity; public health; runoff; sewage; stormwater; virus; Adenovirus; aquatic environment; article; Australia; Bacteroides; Campylobacter coli; Campylobacter jejuni; concentration (parameters); Enterococcus; microbial contamination; microorganism detection; Polyoma virus; priority journal; Salmonella enterica; sewage; urban area; water contamination; water sampling; Australia; Brisbane; Queensland; Adenoviridae; Bacteroides; Campylobacter; Campylobacter coli; Campylobacter jejuni; Enterococcus; Human adenovirus; Polyomavirus; Salmonella enterica"
"Influence of regulation on the productivity of waste utilities. What can we learn with the Portuguese experience?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860158984&doi=10.1016%2fj.wasman.2012.02.004&partnerID=40&md5=6503c2af85dd7cd1206c1ff011c5d7b7","Productivity; Rate of return regulation; Regulation; Sunshine regulation; Urban waste sector","Economic regulations; Nonparametric methods; Over-investment; Panel data; Productivity analysis; Productivity changes; Rate of return; Regulation; Sunshine regulation; Urban wastes; Value for monies; Earnings; Quality of service; Productivity; performance assessment; productivity; regulatory framework; urban area; waste management; article; cost benefit analysis; cost control; cost minimization analysis; cost utility analysis; evaluation research; intermethod comparison; mathematical computing; mathematical model; pollution transport; Portugal; priority journal; productivity; risk management; total quality management; urban area; waste management; Efficiency; Government Regulation; Portugal; Waste Management; Portugal"
"The Potential of Knowing More: A Review of Data-Driven Urban Water Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019674860&doi=10.1021%2facs.est.6b04267&partnerID=40&md5=8c211b6096e70d22241a42123dbc87c1",,"Cost engineering; Data handling; Flood control; Floods; Potable water; Risk management; Urban growth; Wastewater treatment; Water; Water management; Water treatment; Data-driven approach; Engineering practices; Flood risk management; Fundamental changes; Large amounts of data; Network-based approach; Urban water management; Water and wastewater treatments; Information management; drinking water; rain; rain; waste water; water; cost-benefit analysis; data processing; drinking water; epidemiology; flood; flood forecasting; optimization; risk assessment; sewer network; urban area; wastewater; wastewater treatment; water management; construction work and architectural phenomena; cost; environmental monitoring; flooding; information processing; quality control; Review; risk management; sewer; spatiotemporal analysis; urban area; waste water management; water contamination; water supply; waste water; Floods; Rain; Waste Water; Water; Water Supply"
