Title,Link,Author Keywords,Index Keywords
"Perspectives on complex global challenges: Education, energy, healthcare, security, and resilience","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018433152&doi=10.1002%2f9781118984123&partnerID=40&md5=581b842adf7acac45c4293e119721ce5",,"Benchmarking; Big data; Educational technology; Health care; Large scale systems; Nuclear fuels; Nuclear industry; Nuclear weapons; Teaching; Benefits and costs; Business executives; Classroom technology; Government officials; Nuclear-power industry; Operational capabilities; Renewable energies; Standardized testing; National security"
"Introduction and Overview","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018417676&doi=10.1002%2f9781118984123.ch0&partnerID=40&md5=a45cc886a14a216b68e02a2c62a1c207","Communication technology; Global challenges; Large-scale systems; National security; Organizational infrastructures; Private enterprises; Public enterprises; Urban resilience","Environmental technology; Health care; Large scale systems; Communication technologies; Global challenges; Organizational infrastructure; Private enterprise; Public enterprise; Urban resilience; National security"
"Introduction","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018391542&doi=10.1002%2f9781118984123.ch24&partnerID=40&md5=1e1ce34fc084dcf1c297b981a18a2443","Ecosystem characteristics analysis; Historical narrative analysis; Organizations and processes analysis; People and behaviors analysis; Urban resilience community; Urban services","Energy management; Energy resources; Characteristics analysis; Narrative analysis; People and behaviors analysis; Urban resilience; Urban services; Ecosystems"
"Spatial planning to promote urban resilience in coping with climate change and flooding: Exploring two cases in Kaohsiung, Taiwan","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024377926&doi=10.1002%2f9781118451694.ch3&partnerID=40&md5=c21a102d513d451d2120357310ccac0e","Climate change; Flooding; Kaohsiung; Policy-making; Spatial planning; Taiwan; Urban resilience",
"Searching for inter-municipal cooperation links in Algiers by the assessment of the local environmental performances [La recherche d'intercommunalité par l'évaluation des performances environnementales locales à Alger]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963935822&partnerID=40&md5=5a881d9d1df39708584cdf3bd1375e43","Algiers' 2031 development strategy; Environmental governance; Intermunicipality; Urban environmental performances; Urban resilience",
"Introduction: Urban resilience efforts in the face of natural disasters","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061638443&doi=10.4324%2f9781315572109&partnerID=40&md5=5294a00707d6222e7dfc65a3ff88cec5",,
"Conclusion: Stages and scales of urban resilience strategies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061629816&doi=10.4324%2f9781315572109&partnerID=40&md5=11b0094148f65724bdd15d7781839b1a",,
"Agent-Based Modeling—A Tool for Urban Resilience Research?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075896911&doi=10.1007%2f978-3-319-39812-9_8&partnerID=40&md5=92cfa966e84ce7ca8f0b849f3f815613","Average Electrification; Behavioral Rule; Collective Behavior; Disaster Resilience; Electric Vehicle",
"Modeling Urban Heatwave Risk in Adelaide, South Australia","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075882464&doi=10.1007%2f978-3-319-39812-9_3&partnerID=40&md5=705cf6a8b9d06d5beba2727ccc0d32dc","Australian City; Central Business District; Green Space; Recreation Area; Urban Heat Island",
"Conclusion","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075865648&doi=10.1007%2f978-3-319-30641-4_7&partnerID=40&md5=ab38db86e12d2f85233d7d398d89904e","Design Profession; Disaster Recovery; Urban Disaster; Urban Resilience; Wicked Problem",
"Locating urban facilities and energy resources by focusing on improving resilience in times of crisis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055855665&partnerID=40&md5=194b699eb436bbd977e093f12a927726","AHP; Energy resources; GIS locating; Resilience and passive measures; Urban facilities","Disasters; Energy resources; Investments; Population statistics; Risk management; Analytic hierarchy; Economic tools; Large population; Population densities; Resilience and passive measures; Terrain topography; Urban indicators; Urban resilience; Location"
"Evaluation of urban resilience against communicational diseases Outbreak. Case study: Al-Qadir district west of Kerman/Iran","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055848687&partnerID=40&md5=b4473834823f880ba6e7abe2a4a5b78a","Contact frequency; Diffusion pattern; Diseases outbreak; Social distance; Urban Resilience","Diffusion; Disasters; Fuzzy logic; Risk management; Strategic planning; Urban planning; Adaptive strategy; Contact frequency; Diffusion patterns; Infectious disease; Integrative managements; Natural disasters; Social distance; Urban resilience; Diseases"
"New York, Singapore, Berlin - Climate resilience of critical infrastructures around the globe","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055842976&partnerID=40&md5=cf82597936212ac87c7ec2c2df24bce1","Critical energy infrastructures; Ecosystem services; Urban resilience","Disasters; Ecosystems; Planning; Public works; Risk management; Sustainable development; Critical energy; Disaster risk reductions; Ecosystem services; Extreme weather events; Green spaces; Healthy environments; Influence on climate; Urban resilience; Critical infrastructures"
"Integrated financial risk transfer mechanisms for urban resilience","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055819257&partnerID=40&md5=104cc0dedd332b87e68f0229a0ee8337","Integrative risk management; Risk transfer; Urban resilience","Agriculture; Climate change; Disaster prevention; Disasters; Insurance; Integrated control; Risk analysis; Risk assessment; Financial constraints; Integrated approach; Long-term development; Ministry of environments; People's Republic of China; Preventive measures; Risk transfer; Urban resilience; Risk management"
"Post-earthquake disaster management and structural assessment","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055814557&partnerID=40&md5=3d38991cc6458070ce72a6a089f3907a","Iran; Post-earthquake disaster management; Structural assessment","Disaster prevention; Disasters; Earthquakes; Risk assessment; Risk management; Structural analysis; Comparative analysis; Critical assessment; Earthquake disaster; Education programmes; Information management systems; Iran; Risk management systems; Structural assessments; Information management"
"""Save yourself"": Predicting whether communities will be able to prepare themselves from disaster","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055795751&partnerID=40&md5=ab27f93d4a1c9944761176665e0b916c","Community efficacy; Community preparedness; Social cognitive theory; Urban resilience","Disaster prevention; Risk management; Community efficacy; Community preparedness; Disaster preparedness; Emergency preparedness; Measurement scale; Social cognitive theory; Theoretical modeling; Urban resilience; Disasters"
"Assessment of urban fabrics to increase resiliency against earthquake in Iran (Ghazvin)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055770780&partnerID=40&md5=7dcd25a127aa6feba46c206fd5df77bc","Earthquake in this chapter we kindly ask you to address how your work has been supporting Integrative Risk Management and urban resilience; Resiliency; Urban fabrics","Disasters; Risk management; Sustainable development; Built environment; Comparative methods; Information layers; Natural disasters; Resiliency; Strong earthquakes; Urban fabrics; Urban resilience; Earthquakes"
